Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","2","Afghanistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","65286","A","Chiffre officiel"
"RL","Utilisation des terres","202","Afrique du Sud","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","121909","A","Chiffre officiel"
"RL","Utilisation des terres","3","Albanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2875","A","Chiffre officiel"
"RL","Utilisation des terres","4","Algérie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","238174","A","Chiffre officiel"
"RL","Utilisation des terres","79","Allemagne","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","35734","A","Chiffre officiel"
"RL","Utilisation des terres","6","Andorre","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","47","A","Chiffre officiel"
"RL","Utilisation des terres","7","Angola","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","124670","A","Chiffre officiel"
"RL","Utilisation des terres","258","Anguilla","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","9","A","Chiffre officiel"
"RL","Utilisation des terres","8","Antigua-et-Barbuda","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","44","A","Chiffre officiel"
"RL","Utilisation des terres","194","Arabie saoudite","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","214969","A","Chiffre officiel"
"RL","Utilisation des terres","9","Argentine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","278040","A","Chiffre officiel"
"RL","Utilisation des terres","1","Arménie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2974","A","Chiffre officiel"
"RL","Utilisation des terres","22","Aruba","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","18","A","Chiffre officiel"
"RL","Utilisation des terres","10","Australie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","774122","A","Chiffre officiel"
"RL","Utilisation des terres","11","Autriche","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","8387.9","A","Chiffre officiel"
"RL","Utilisation des terres","52","Azerbaïdjan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","8660","A","Chiffre officiel"
"RL","Utilisation des terres","12","Bahamas","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1388","A","Chiffre officiel"
"RL","Utilisation des terres","13","Bahreïn","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","77","A","Chiffre officiel"
"RL","Utilisation des terres","16","Bangladesh","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","14846","A","Chiffre officiel"
"RL","Utilisation des terres","14","Barbade","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","43","A","Chiffre officiel"
"RL","Utilisation des terres","57","Bélarus","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","20760","A","Chiffre officiel"
"RL","Utilisation des terres","255","Belgique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3053","A","Chiffre officiel"
"RL","Utilisation des terres","23","Belize","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2297","A","Chiffre officiel"
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","11476","A","Chiffre officiel"
"RL","Utilisation des terres","17","Bermudes","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","429","A","Chiffre officiel"
"RL","Utilisation des terres","18","Bhoutan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3839.4","A","Chiffre officiel"
"RL","Utilisation des terres","19","Bolivie (État plurinational de)","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","109858","A","Chiffre officiel"
